year,annual_generation_mwh,thermal_input_mwh_th,gross_co2_tonnes,captured_co2_tonnes,residual_co2_tonnes,fuel_cost_gbp,fixed_om_gbp,variable_om_gbp,ccs_consumables_gbp,co2_t_and_s_cost_gbp,residual_carbon_cost_gbp,major_maintenance_cost_gbp,total_opex_gbp,discount_factor,discounted_opex_gbp,cumulative_opex_gbp,cumulative_discounted_opex_gbp,cumulative_total_expenditure_gbp,cumulative_discounted_total_expenditure_gbp
1,71832000.0,153002160.0,28152397.44,26040967.632000003,2111429.8079999983,5355075600.0,262946666.6666667,359160000.0,143664000.0,507798868.82400006,88342223.16671994,0.0,6716987358.657388,1.0,6716987358.657388,6716987358.657388,6716987358.657388,21966987358.657387,21966987358.657387
2,71832000.0,153002160.0,28152397.44,26040967.632000003,2111429.8079999983,5355075600.0,262946666.6666667,359160000.0,143664000.0,507798868.82400006,88342223.16671994,0.0,6716987358.657388,1.0,6716987358.657388,13433974717.314775,13433974717.314775,28683974717.314774,28683974717.314774
3,71832000.0,153002160.0,28152397.44,26040967.632000003,2111429.8079999983,5355075600.0,262946666.6666667,359160000.0,143664000.0,507798868.82400006,88342223.16671994,0.0,6716987358.657388,1.0,6716987358.657388,20150962075.972164,20150962075.972164,35400962075.97217,35400962075.97217
4,71832000.0,153002160.0,28152397.44,26040967.632000003,2111429.8079999983,5355075600.0,262946666.6666667,359160000.0,143664000.0,507798868.82400006,88342223.16671994,0.0,6716987358.657388,1.0,6716987358.657388,26867949434.62955,26867949434.62955,42117949434.62955,42117949434.62955
5,71832000.0,153002160.0,28152397.44,26040967.632000003,2111429.8079999983,5355075600.0,262946666.6666667,359160000.0,143664000.0,507798868.82400006,88342223.16671994,0.0,6716987358.657388,1.0,6716987358.657388,33584936793.286938,33584936793.286938,48834936793.28694,48834936793.28694
6,71832000.0,153002160.0,28152397.44,26040967.632000003,2111429.8079999983,5355075600.0,262946666.6666667,359160000.0,143664000.0,507798868.82400006,88342223.16671994,0.0,6716987358.657388,1.0,6716987358.657388,40301924151.94433,40301924151.94433,55551924151.94433,55551924151.94433
7,71832000.0,153002160.0,28152397.44,26040967.632000003,2111429.8079999983,5355075600.0,262946666.6666667,359160000.0,143664000.0,507798868.82400006,88342223.16671994,0.0,6716987358.657388,1.0,6716987358.657388,47018911510.601715,47018911510.601715,62268911510.601715,62268911510.601715
8,71832000.0,153002160.0,28152397.44,26040967.632000003,2111429.8079999983,5355075600.0,262946666.6666667,359160000.0,143664000.0,507798868.82400006,88342223.16671994,0.0,6716987358.657388,1.0,6716987358.657388,53735898869.2591,53735898869.2591,68985898869.2591,68985898869.2591
9,71832000.0,153002160.0,28152397.44,26040967.632000003,2111429.8079999983,5355075600.0,262946666.6666667,359160000.0,143664000.0,507798868.82400006,88342223.16671994,0.0,6716987358.657388,1.0,6716987358.657388,60452886227.91649,60452886227.91649,75702886227.91649,75702886227.91649
10,71832000.0,153002160.0,28152397.44,26040967.632000003,2111429.8079999983,5355075600.0,262946666.6666667,359160000.0,143664000.0,507798868.82400006,88342223.16671994,885600000.0,7602587358.657388,1.0,7602587358.657388,68055473586.573875,68055473586.573875,83305473586.57388,83305473586.57388
11,71832000.0,153002160.0,28152397.44,26040967.632000003,2111429.8079999983,5355075600.0,262946666.6666667,359160000.0,143664000.0,507798868.82400006,88342223.16671994,0.0,6716987358.657388,1.0,6716987358.657388,74772460945.23126,74772460945.23126,90022460945.23126,90022460945.23126
12,71832000.0,153002160.0,28152397.44,26040967.632000003,2111429.8079999983,5355075600.0,262946666.6666667,359160000.0,143664000.0,507798868.82400006,88342223.16671994,0.0,6716987358.657388,1.0,6716987358.657388,81489448303.88866,81489448303.88866,96739448303.88866,96739448303.88866
13,71832000.0,153002160.0,28152397.44,26040967.632000003,2111429.8079999983,5355075600.0,262946666.6666667,359160000.0,143664000.0,507798868.82400006,88342223.16671994,0.0,6716987358.657388,1.0,6716987358.657388,88206435662.54605,88206435662.54605,103456435662.54605,103456435662.54605
14,71832000.0,153002160.0,28152397.44,26040967.632000003,2111429.8079999983,5355075600.0,262946666.6666667,359160000.0,143664000.0,507798868.82400006,88342223.16671994,0.0,6716987358.657388,1.0,6716987358.657388,94923423021.20345,94923423021.20345,110173423021.20345,110173423021.20345
15,71832000.0,153002160.0,28152397.44,26040967.632000003,2111429.8079999983,5355075600.0,262946666.6666667,359160000.0,143664000.0,507798868.82400006,88342223.16671994,0.0,6716987358.657388,1.0,6716987358.657388,101640410379.86084,101640410379.86084,116890410379.86084,116890410379.86084
16,71832000.0,153002160.0,28152397.44,26040967.632000003,2111429.8079999983,5355075600.0,262946666.6666667,359160000.0,143664000.0,507798868.82400006,88342223.16671994,0.0,6716987358.657388,1.0,6716987358.657388,108357397738.51823,108357397738.51823,123607397738.51823,123607397738.51823
17,71832000.0,153002160.0,28152397.44,26040967.632000003,2111429.8079999983,5355075600.0,262946666.6666667,359160000.0,143664000.0,507798868.82400006,88342223.16671994,0.0,6716987358.657388,1.0,6716987358.657388,115074385097.17563,115074385097.17563,130324385097.17563,130324385097.17563
18,71832000.0,153002160.0,28152397.44,26040967.632000003,2111429.8079999983,5355075600.0,262946666.6666667,359160000.0,143664000.0,507798868.82400006,88342223.16671994,0.0,6716987358.657388,1.0,6716987358.657388,121791372455.83302,121791372455.83302,137041372455.83302,137041372455.83302
19,71832000.0,153002160.0,28152397.44,26040967.632000003,2111429.8079999983,5355075600.0,262946666.6666667,359160000.0,143664000.0,507798868.82400006,88342223.16671994,0.0,6716987358.657388,1.0,6716987358.657388,128508359814.49042,128508359814.49042,143758359814.49042,143758359814.49042
20,71832000.0,153002160.0,28152397.44,26040967.632000003,2111429.8079999983,5355075600.0,262946666.6666667,359160000.0,143664000.0,507798868.82400006,88342223.16671994,885600000.0,7602587358.657388,1.0,7602587358.657388,136110947173.14781,136110947173.14781,151360947173.14783,151360947173.14783
21,71832000.0,153002160.0,28152397.44,26040967.632000003,2111429.8079999983,5355075600.0,262946666.6666667,359160000.0,143664000.0,507798868.82400006,88342223.16671994,0.0,6716987358.657388,1.0,6716987358.657388,142827934531.8052,142827934531.8052,158077934531.8052,158077934531.8052
22,71832000.0,153002160.0,28152397.44,26040967.632000003,2111429.8079999983,5355075600.0,262946666.6666667,359160000.0,143664000.0,507798868.82400006,88342223.16671994,0.0,6716987358.657388,1.0,6716987358.657388,149544921890.4626,149544921890.4626,164794921890.4626,164794921890.4626
23,71832000.0,153002160.0,28152397.44,26040967.632000003,2111429.8079999983,5355075600.0,262946666.6666667,359160000.0,143664000.0,507798868.82400006,88342223.16671994,0.0,6716987358.657388,1.0,6716987358.657388,156261909249.11996,156261909249.11996,171511909249.11996,171511909249.11996
24,71832000.0,153002160.0,28152397.44,26040967.632000003,2111429.8079999983,5355075600.0,262946666.6666667,359160000.0,143664000.0,507798868.82400006,88342223.16671994,0.0,6716987358.657388,1.0,6716987358.657388,162978896607.77734,162978896607.77734,178228896607.77734,178228896607.77734
25,71832000.0,153002160.0,28152397.44,26040967.632000003,2111429.8079999983,5355075600.0,262946666.6666667,359160000.0,143664000.0,507798868.82400006,88342223.16671994,0.0,6716987358.657388,1.0,6716987358.657388,169695883966.43472,169695883966.43472,184945883966.43472,184945883966.43472
